Category;Category.Id;Category.ParentId;Category.Name;Category.Link;Category.PictureLink;Category.BaseLink;Category.FileName
WebScraper.Category;19;5;Loudspeaker;"";"";"";""
WebScraper.Category;5;0;speaker;"";"";"";""
WebScraper.Category;20;5;"center speaker";"";"";https://audio-database.com/AR;""
WebScraper.Category;21;5;subwoofer;"";"";https://audio-database.com/ADC;""
WebScraper.Category;22;4;"tweeter system";"";"";https://audio-database.com/CORAL;""
WebScraper.Category;4;0;unit;"";"";"";""
WebScraper.Category;23;8;"integrated amplifier";"";"";https://audio-database.com/Accuphase-kensonic/amp;""
WebScraper.Category;8;0;amp;"";"";"";""
WebScraper.Category;24;8;"control amplifier";"";"";https://audio-database.com/Accuphase-kensonic/amp;""
WebScraper.Category;25;8;"multichannel control amplifier";"";"";https://audio-database.com/Accuphase-kensonic/amp;""
WebScraper.Category;26;8;"monaural power amplifier";"";"";https://audio-database.com/Accuphase-kensonic/amp;""
WebScraper.Category;27;8;"stereo power amplifier";"";"";https://audio-database.com/Accuphase-kensonic/amp;""
WebScraper.Category;28;7;"cd player";"";"";https://audio-database.com/Accuphase-kensonic/player;""
WebScraper.Category;7;0;player;"";"";"";""
WebScraper.Category;29;7;"cd transport";"";"";https://audio-database.com/Accuphase-kensonic/player;""
WebScraper.Category;30;6;"fm/am tuner";"";"";https://audio-database.com/Accuphase-kensonic/tuner;""
WebScraper.Category;6;0;tuner;"";"";"";""
WebScraper.Category;31;6;"fm tuner";"";"";https://audio-database.com/Accuphase-kensonic/tuner;""
WebScraper.Category;32;6;"cs-pcm tuner";"";"";https://audio-database.com/Accuphase-kensonic/tuner;""
WebScraper.Category;33;2;"d/a converter";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;2;0;etc;"";"";"";""
WebScraper.Category;34;2;"a/d converter";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;35;2;"mc cartridge";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;36;2;"mc head amplifier";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;37;2;"channel divider";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;38;2;"graphic equalizer";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;39;2;"voicing equalizer";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;40;2;"clean power supply";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;41;2;"power bridge network";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;42;2;"remote commander";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;43;2;"option unit";"";"";https://audio-database.com/Accuphase-kensonic/etc;""
WebScraper.Category;44;8;"separate amplifier";"";"";"";""
WebScraper.Category;45;5;"speaker system";"";"";https://audio-database.com/ACOUSTICARTS(eng)/speaker;""
WebScraper.Category;46;2;"spectrum analyzer";"";"";https://audio-database.com/ADC/etc;""
WebScraper.Category;47;2;"tone arm";"";"";https://audio-database.com/ADC/etc;""
WebScraper.Category;48;2;"im type cartridge";"";"";https://audio-database.com/ADC/etc;""
WebScraper.Category;49;7;"cassette deck";"";"";https://audio-database.com/AIWA;""
WebScraper.Category;50;5;spekers;"";"";"";""
WebScraper.Category;51;12;"stereo power amplifier kit";"";"";https://audio-database.com/AIRTIGHT/amp;""
WebScraper.Category;12;0;kit;"";"";"";""
WebScraper.Category;52;2;"equalizer amplifier";"";"";https://audio-database.com/AIRTIGHT/etc;""
WebScraper.Category;53;8;"pre-main amplifier";"";"";https://audio-database.com/AIWA/amp;""
WebScraper.Category;54;7;"dat deck";"";"";https://audio-database.com/AIWA/player;""
WebScraper.Category;55;7;"record player";"";"";https://audio-database.com/AIWA/player;""
WebScraper.Category;56;7;"open-reel deck";"";"";https://audio-database.com/AIWA/player;""
WebScraper.Category;57;5;"active speaker";"";"";https://audio-database.com/AIWA/speaker;""
WebScraper.Category;58;13;"radio-cassette recorder";"";"";https://audio-database.com/AIWA/boombox;""
WebScraper.Category;13;0;boombox;"";"";"";""
WebScraper.Category;59;8;"4ch integrated amplifier";"";"";https://audio-database.com/AKAI/amp;""
WebScraper.Category;60;8;receiver;"";"";https://audio-database.com/AKAI/amp;""
WebScraper.Category;61;8;"av amplifier";"";"";https://audio-database.com/AKAI/amp;""
WebScraper.Category;62;7;"ld/cdv player";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;63;7;"tuner cassette deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;64;7;"monaural tape deck/tape recorder";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;65;7;"tape deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;66;7;"4ch tape deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;67;7;"video/audio tape recorder";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;68;7;"tape/cassette deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;69;7;"tape/8track recorder";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;70;7;"tape/cassette/8track recorder";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;71;7;"8track tape deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;72;7;"4ch 8track tape deck";"";"";https://audio-database.com/AKAI/player;""
WebScraper.Category;73;9;"tape recorder";"";"";https://audio-database.com/AKAI/portable;""
WebScraper.Category;9;0;portable;"";"";"";""
WebScraper.Category;74;2;"surround processor";"";"";https://audio-database.com/AKAI/etc;""
WebScraper.Category;75;2;"audio timer";"";"";https://audio-database.com/AKAI/etc;""
WebScraper.Category;76;2;"headphone / earphone";"";"";https://audio-database.com/AKAI/etc;""
WebScraper.Category;77;8;"tuner preamplifier";"";"";https://audio-database.com/ALTEC/amp;""
WebScraper.Category;78;8;"electronic crossover bi-amplifier";"";"";https://audio-database.com/ALTEC/amp;""
WebScraper.Category;79;8;"mixer power amplifier";"";"";https://audio-database.com/ALTEC/amp;""
WebScraper.Category;80;5;"speaker set";"";"";https://audio-database.com/ALTEC/speaker;""
WebScraper.Category;81;5;スピーカーシステム;"";"";https://audio-database.com/NIKKA;""
WebScraper.Category;82;2;"spectral equalizer";"";"";https://audio-database.com/AR/etc;""
WebScraper.Category;83;2;d/aコンバーター;"";"";"";""
WebScraper.Category;84;2;"d/d convertor";"";"";"";""
WebScraper.Category;85;8;"integrated amplifier / pre-main amplifier";"";"";https://audio-database.com/AUDIORESEARCH;""
WebScraper.Category;86;8;"control amplifier / pre-amplifier";"";"";"";""
WebScraper.Category;87;8;"phono equalizer amplifier";"";"";https://audio-database.com/LUXMAN;""
WebScraper.Category;88;2;"mc transformer";"";"";https://audio-database.com/COTTER/etc;""
WebScraper.Category;89;2;"booster transformer";"";"";https://audio-database.com/FIDELITYRESEARCH;""
WebScraper.Category;90;2;"head amp / plump amp";"";"";https://audio-database.com/AUDIORESEARCH/etc;""
WebScraper.Category;91;2;"crossover network";"";"";https://audio-database.com/AUDIORESEARCH/etc;""
WebScraper.Category;92;2;"vm cartridge";"";"";https://audio-database.com/AUDIO-TECHNICA/etc;""
WebScraper.Category;93;2;"monaural mc cartridge";"";"";https://audio-database.com/AUDIO-TECHNICA/etc;""
WebScraper.Category;94;2;"mc booster transformer";"";"";https://audio-database.com/AUDIO-TECHNICA/etc;""
WebScraper.Category;95;2;headphone;"";"";https://audio-database.com/AUDIO-TECHNICA/etc;""
WebScraper.Category;96;8;"fm/am receiver";"";"";https://audio-database.com/AUREX/amp;""
WebScraper.Category;97;8;"stereo cassette receiver";"";"";https://audio-database.com/AUREX/amp;""
WebScraper.Category;98;8;"4ch receiver";"";"";https://audio-database.com/AUREX/amp;""
WebScraper.Category;99;7;"dvd video/audio player";"";"";https://audio-database.com/AUREX/player;""
WebScraper.Category;100;7;"dvd player";"";"";https://audio-database.com/AUREX/player;""
WebScraper.Category;101;7;"cdv player";"";"";https://audio-database.com/AUREX/player;""
WebScraper.Category;102;7;"8track deck/player";"";"";https://audio-database.com/AUREX/player;""
WebScraper.Category;103;7;"4ch 8track deck/player";"";"";https://audio-database.com/AUREX/player;""
WebScraper.Category;104;2;"adres unit";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;105;2;"pcm processor";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;106;2;"4ch qm(rm) decorder";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;107;2;"cd-4 demodulator";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;108;2;"equalizer amplifier for condenser cartridge";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;109;2;"ic cartridge";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;110;2;"condenser cartridge";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;111;2;"mm cartridge";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;112;2;"peak meter unit";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;113;2;"4 channel headphone";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;114;2;mic;"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;115;2;"mic mixing amplifier";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;116;2;"fm antenna";"";"";https://audio-database.com/AUREX/etc;""
WebScraper.Category;117;8;"multi-channel power amplifier";"";"";"";""
WebScraper.Category;118;8;preamplifier;"";"";https://audio-database.com/FMACOUSTICS;""
